timestamp,old_pk,new_pk,action,name,status,error
2025-05-02T22:50:26.053113,1,18,CREATE,Opening Balance from Previous Cash Book Statement (May-2020),SUCCESS,
2025-05-02T22:50:28.599988,2,19,CREATE,Advance Recieved for Office Expense  for the month of June-2020 against ch no AC 5198462 Dated 07.06-2020,SUCCESS,
2025-05-02T22:50:31.068738,3,20,CREATE,House Rent paid for Casual Inspector at Netagonj & Meghna Ghat for the month of JUNE-2020,SUCCESS,
2025-05-02T22:50:33.678113,4,21,CREATE,Opening Balance for Cash Book  for the month of January 2021,SUCCESS,
2025-05-02T22:50:36.131239,5,22,CREATE,Advance Recieved for Cash Book  for the month of January 2021 ADV01/JAN/2021,SUCCESS,
2025-05-02T22:50:38.599989,6,23,CREATE,Office Rent for Bijoynagar Office  & Narayanganj House rent for the month of January 2021,SUCCESS,
2025-05-02T22:50:41.459434,7,24,CREATE,Office Rent for Dhaka office  for the month of January 2021,SUCCESS,
2025-05-02T22:50:44.022147,8,25,CREATE,Store Rent for Store at Bijaynagar for the month of December 2020,SUCCESS,
2025-05-02T22:50:46.522287,9,26,CREATE,Utility Bill for Dhaka office  for the month of December 2020,SUCCESS,
2025-05-02T22:50:48.975389,10,27,CREATE,Software Bill for Check in Software for the month of January 2021,SUCCESS,
2025-05-02T22:50:51.334736,11,28,CREATE,Courier bill for Continental  for the month of January 2021,SUCCESS,
2025-05-02T22:50:54.741037,12,29,CREATE,Dailly News Paper bill for office  for the month of Dec 2020,SUCCESS,
2025-05-02T22:50:57.631605,13,30,CREATE,Business Development Purpose  for United Shipping  for the month of January 2021 To donation Mohotshab at Mr Prabir ,SUCCESS,
2025-05-02T22:51:01.803537,14,31,CREATE,Opening Balance for Cash Book  for the month of Noveber 2020,SUCCESS,
2025-05-02T22:51:06.429279,15,32,CREATE,Advance Recieved for Cash Book CRV 031/020 for the month of Novembers 2020 chq7139004,SUCCESS,
2025-05-02T22:51:11.179489,16,33,CREATE,Advance Recieved for Cash Book  for the month of Novembers 2020 CRV032 chq 7139005,SUCCESS,
